"stratum","x0001","x0010","x0011","x0100","x0101","x0110","x0111","x1000","x1001","x1010","x1011","x1100","x1101","x1110","x1111","stratum.type","nk","sname","dgalog.025","dgalog.250","dgalog.nhat","dgalog.750","dgalog.975","sat.renormlog","diptestlog","diptest.pvallog","topgraphlog"
"8283.MORAZAN",104,72,21,14,2,2,1,7,6,3,7,0,1,0,0,"pd2.dp",240,"pd2.dp-8283.MORAZAN",456,538,593,653,811,NA,0.00847058823529412,0.95267922176237,18
"8283.SAN SALVADOR",353,118,10,1030,119,8,13,182,132,12,11,38,86,3,13,"pd2.dp",2128,"pd2.dp-8283.SAN SALVADOR",3465,4160,5330,7333,16539,NA,0.0147600229095074,0.157872450018748,56
"8283.SAN VICENTE",471,138,70,82,8,2,1,24,5,1,0,3,3,0,0,"pd2.dp",808,"pd2.dp-8283.SAN VICENTE",1861,3374,3843,4357,5865,NA,0.00958406113537118,0.838558213074131,12
"8283.SANTA ANA",60,32,3,304,23,1,1,21,10,0,0,0,7,2,8,"pd2.dp",472,"pd2.dp-8283.SANTA ANA",778,999,1168,1386,2029,NA,0.00742857142857143,0.990797224199105,60
"8283.USULUTAN",171,55,4,58,5,0,0,51,7,2,0,2,1,0,1,"pd2.dp",357,"pd2.dp-8283.USULUTAN",1225,1494,1665,1901,2411,NA,0.0100196078431373,0.779684310090326,1
"8485.CHALATENANGO",36,104,6,58,5,5,2,10,3,1,2,1,2,0,0,"pd2.dp",235,"pd2.dp-8485.CHALATENANGO",524,658,753,860,1138,NA,0.00728125,0.991471067496951,4
"8485.CUSCATLAN",51,32,5,212,21,13,1,14,1,1,0,8,3,2,3,"pd2.dp",367,"pd2.dp-8485.CUSCATLAN",647,730,779,834,989,NA,0.0142777777777778,0.190522515097215,1
"8485.SAN SALVADOR",137,32,1,229,34,4,3,97,28,1,1,15,24,2,2,"pd2.dp",610,"pd2.dp-8485.SAN SALVADOR",1295,1566,1793,2029,2772,NA,0.00924395161290322,0.881529051070054,13
"8687.SAN SALVADOR",82,22,6,102,49,3,5,38,12,0,1,8,13,0,1,"pd2.dp",342,"pd2.dp-8687.SAN SALVADOR",541,649,744,871,1212,NA,0.0116,0.523527512180067,13
"8889.SAN SALVADOR",104,34,3,232,68,10,2,79,5,3,2,13,18,3,1,"pd2.dp",577,"pd2.dp-8889.SAN SALVADOR",1128,1295,1396,1516,1853,NA,0.00676543209876543,0.993830401363225,3
"9092.SAN SALVADOR",32,20,1,51,11,1,2,114,6,1,2,3,5,1,1,"pd2.dp",251,"pd2.dp-9092.SAN SALVADOR",618,755,861,1011,1551,NA,0.00719387755102041,0.991870706162774,8
"8385",982,597,63,1937,204,50,43,322,96,5,8,51,96,9,15,"period3",4478,"period3-8385",17144,22842,27059,32414,46456,NA,0.0104252246469833,0.716473058371344,56
"8688",458,222,25,532,269,26,15,201,37,4,4,27,52,2,7,"period3",1881,"period3-8688",5141,5687,6007,6433,7571,NA,0.008044921875,0.975013224787711,30
"8992",277,145,30,452,95,13,16,369,31,9,6,28,30,5,6,"period3",1512,"period3-8992",4532,5558,6042,6578,7863,NA,0.00888125,0.918790528471291,42
"8082.AHUACHAPAN",43,85,0,55,4,0,0,20,1,0,0,0,0,0,0,"pd3.dp",208,"pd3.dp-8082.AHUACHAPAN",462,635,761,943,1551,NA,0.00696666666666667,0.992909961165283,47
"8082.CABANAS",143,314,45,26,1,1,0,19,1,10,1,0,1,0,0,"pd3.dp",562,"pd3.dp-8082.CABANAS",1239,1415,1524,1650,1937,NA,0.00798387096774194,0.978216463931296,5
"8082.CHALATENANGO",490,1124,253,28,16,9,9,13,3,3,1,2,3,1,0,"pd3.dp",1955,"pd3.dp-8082.CHALATENANGO",3877,4101,4229,4388,5481,NA,0.00842241379310345,0.955206854288669,16
