"stratum","x0001","x0010","x0011","x0100","x0101","x0110","x0111","x1000","x1001","x1010","x1011","x1100","x1101","x1110","x1111","stratum.type","nk","sname","dgalog.025","dgalog.250","dgalog.nhat","dgalog.750","dgalog.975","sat.renormlog","diptestlog","diptest.pvallog","topgraphlog"
"WCENTRAL.8788",130,88,11,162,110,7,6,85,12,2,0,12,21,1,3,"re.pd2.5",650,"re.pd2.5-WCENTRAL.8788",1496,1765,1927,2114,2557,NA,0.00619565217391304,0.996436555724695,13
"WCENTRAL.8990",118,98,19,300,50,12,7,144,8,3,4,23,17,5,2,"re.pd2.5",810,"re.pd2.5-WCENTRAL.8990",1976,2310,2535,2801,3560,NA,0.00826510067114094,0.96346081107165,42
"WEST.1980",183,141,42,3,2,0,2,25,1,2,0,0,0,0,0,"re.pd2.5",401,"re.pd2.5-WEST.1980",848,959,1045,1146,2091,NA,0.009,0.908484233561716,4
"WEST.8182",164,138,14,238,24,2,2,45,5,3,0,1,9,4,7,"re.pd2.5",656,"re.pd2.5-WEST.8182",1544,1873,2089,2363,3003,NA,0.00817372881355932,0.968254939840127,60
"WEST.8384",58,47,2,241,21,1,5,20,9,0,0,1,13,0,2,"re.pd2.5",420,"re.pd2.5-WEST.8384",865,1353,1835,2498,4399,NA,0.00747368421052631,0.990590879839955,54
"EAST.8082",575,258,95,186,349,3,11,138,15,14,15,3,5,0,0,"re.pd3",1667,"re.pd3-EAST.8082",3670,6480,7323,8287,10294,NA,0.0113523131672598,0.564023817354821,51
"EAST.8385",99,55,15,109,6,2,0,27,6,0,1,0,7,1,0,"re.pd3",328,"re.pd3-EAST.8385",614,754,897,1230,2249,NA,0.00581147540983606,0.998193767422763,46
"EAST.8688",83,9,1,96,51,5,4,19,6,0,0,4,7,0,0,"re.pd3",285,"re.pd3-EAST.8688",411,453,483,548,784,NA,0.0095,0.849178843168746,1
"ECENTRAL.8082",1594,905,219,196,24,4,5,204,56,19,8,9,10,1,1,"re.pd3",3255,"re.pd3-ECENTRAL.8082",9474,10632,14912,16546,19792,NA,0.0706455311183903,0,36
"ECENTRAL.8385",163,119,11,289,21,14,0,68,11,1,1,3,8,1,2,"re.pd3",712,"re.pd3-ECENTRAL.8385",2169,2578,2782,3014,3607,NA,0.007804,0.984203854956808,4
"ECENTRAL.8688",132,63,4,97,56,8,1,58,9,2,2,5,11,1,1,"re.pd3",450,"re.pd3-ECENTRAL.8688",971,1189,1321,1503,1964,NA,0.006,0.997331462238832,13
"ECENTRAL.8992",36,16,4,67,19,0,3,72,8,0,0,2,2,0,0,"re.pd3",229,"re.pd3-ECENTRAL.8992",407,577,773,981,1636,NA,0.00888271604938271,0.918663290262531,40
"WCENTRAL.8082",1824,2055,439,694,163,29,28,524,218,31,26,37,112,5,13,"re.pd3",6198,"re.pd3-WCENTRAL.8082",36764,42810,47165,52544,64590,NA,0.00861343658434492,0.942034015144822,57
"WCENTRAL.8385",656,372,35,1241,156,33,37,202,70,4,6,46,68,7,11,"re.pd3",2944,"re.pd3-WCENTRAL.8385",9120,11940,14311,17130,24541,NA,0.0103042226487524,0.735329988597481,56
"WCENTRAL.8688",216,133,19,289,143,12,6,115,21,2,1,17,30,1,3,"re.pd3",1008,"re.pd3-WCENTRAL.8688",2610,3006,3259,3511,4134,NA,0.0080037037037037,0.977175873397751,13
"WCENTRAL.8992",154,116,22,300,50,12,7,217,15,6,6,23,17,5,2,"re.pd3",952,"re.pd3-WCENTRAL.8992",2551,2975,3254,3563,4220,NA,0.00659615384615385,0.994604674441484,42
"WEST.8082",347,279,56,241,26,2,4,70,6,5,0,1,9,4,7,"re.pd3",1057,"re.pd3-WEST.8082",2334,2605,2781,2949,3428,NA,0.00698888888888889,0.992808317462443,60
"WEST.8385",64,51,2,298,21,1,6,25,9,0,0,2,13,0,2,"re.pd3",494,"re.pd3-WEST.8385",989,1571,2020,2597,4825,NA,0.0067760736196319,0.993781727401913,54
"EAST.8085",674,313,110,295,355,5,11,165,21,14,16,3,12,1,0,"re.pd4",1995,"re.pd4-EAST.8085",4667,6869,7586,8443,11334,NA,0.00607960199004975,0.996967365392837,51
"EAST.8692",125,12,1,136,59,5,4,51,12,0,0,5,13,0,0,"re.pd4",423,"re.pd4-EAST.8692",724,910,1072,1381,2258,NA,0.00824242424242424,0.964650605414836,32
"ECENTRAL.8085",1757,1024,230,485,45,18,5,272,67,20,9,12,18,2,3,"re.pd4",3967,"re.pd4-ECENTRAL.8085",11822,19857,21768,23684,28527,NA,0.0221714580822861,0.00174166247651508,52
"ECENTRAL.8692",168,79,8,164,75,8,4,130,17,2,2,7,13,1,1,"re.pd4",679,"re.pd4-ECENTRAL.8692",1794,2068,2276,2550,3181,NA,0.007296875,0.991399599268392,3
"WCENTRAL.8085",2480,2427,474,1935,319,62,65,726,288,35,32,83,180,12,24,"re.pd4",9142,"re.pd4-WCENTRAL.8085",59186,68030,73514,81035,96471,NA,0.00706571031929662,0.992456938803457,57
"WCENTRAL.8692",370,249,41,589,193,24,13,332,36,8,7,40,47,6,5,"re.pd4",1960,"re.pd4-WCENTRAL.8692",6126,6930,7503,8227,9918,NA,0.0062773631840796,0.996062812291069,52
"WEST.8085",411,330,58,539,47,3,10,95,15,5,0,3,22,4,9,"re.pd4",1551,"re.pd4-WEST.8085",3518,4477,5973,8210,23895,NA,0.00685282258064517,0.993430680215519,61
"WEST.8692",72,27,5,95,37,2,10,57,3,3,1,3,9,0,7,"re.pd4",331,"re.pd4-WEST.8692",614,826,1000,1181,1723,NA,0.0102995594713657,0.736056697345267,52
"EAST2",799,325,111,431,414,10,15,216,33,14,16,8,25,1,0,"r2",2418,"r2-EAST2",5357,6858,7513,8572,12487,NA,0.00834282907662082,0.959382531449217,41
"NCENTRAL",829,1828,341,285,67,33,16,91,16,17,5,3,8,3,0,"r2",3542,"r2-NCENTRAL",7248,7678,7941,8204,13194,NA,0.00772421524663677,0.986503055208734,29
"SCENTRAL",1720,722,183,540,99,14,9,364,80,11,10,19,29,2,4,"r2",3806,"r2-SCENTRAL",19217,22797,25349,28276,34399,NA,0.0112373599757796,0.582818435831276,52
"SSREGION",2226,1229,229,2348,466,65,62,1005,312,37,35,120,221,16,29,"r2",8400,"r2-SSREGION",37924,41430,43441,45860,50791,NA,0.00646599326599327,0.995200024591395,52
"WEST2",483,357,63,634,84,5,20,152,18,8,1,6,31,4,16,"r2",1882,"r2-WEST2",5167,6439,7472,8640,17745,NA,0.00841311475409836,0.955694759335074,61
"EAST2.1980",223,105,30,3,1,0,0,44,5,7,1,2,1,0,0,"re2.yr",422,"re2.yr-EAST2.1980",980,1158,1267,1385,1678,NA,0.007375,0.991042258125594,7
"EAST2.1981",267,91,50,111,344,2,10,67,2,2,7,1,4,0,0,"re2.yr",958,"re2.yr-EAST2.1981",2621,4017,4867,5905,8698,NA,0.00583513513513514,0.998085548628822,51
"EAST2.1982",85,62,15,72,4,1,1,27,8,5,7,0,0,0,0,"re2.yr",287,"re2.yr-EAST2.1982",458,515,555,618,1592,NA,0.007,0.992757495611023,28
"NCENTRAL.1980",347,745,185,13,5,8,9,15,3,13,1,0,1,0,0,"re2.yr",1345,"re2.yr-NCENTRAL.1980",2433,2598,2686,2785,2987,NA,0.00934782608695652,0.868405122154254,3
"NCENTRAL.1981",168,404,60,11,3,0,0,11,1,0,0,0,2,0,0,"re2.yr",660,"re2.yr-NCENTRAL.1981",1323,1642,1768,1897,2193,NA,0.01005,0.774948001684172,23
"NCENTRAL.1982",118,289,53,30,9,2,0,6,0,0,1,2,1,1,0,"re2.yr",512,"re2.yr-NCENTRAL.1982",954,1078,1143,1230,1408,NA,0.00694565217391304,0.993006080753839,21
"NCENTRAL.1984",34,114,9,91,4,13,0,12,3,1,2,1,2,0,0,"re2.yr",286,"re2.yr-NCENTRAL.1984",692,833,927,1036,1281,NA,0.00688235294117647,0.993295609331941,4
"SCENTRAL.1980",357,221,64,32,6,0,4,59,17,3,2,2,0,1,1,"re2.yr",769,"re2.yr-SCENTRAL.1980",1759,1951,2047,2186,2587,NA,0.00757142857142857,0.990143800395132,1
"SCENTRAL.1981",490,191,37,21,4,1,0,65,28,4,5,1,3,0,0,"re2.yr",850,"re2.yr-SCENTRAL.1981",2131,2873,3134,3392,4035,NA,0.00881308411214953,0.924706635780427,19
"SCENTRAL.1982",604,179,73,117,13,2,1,61,10,2,0,6,6,0,0,"re2.yr",1074,"re2.yr-SCENTRAL.1982",3039,4623,5194,5782,7380,NA,0.00609016393442623,0.996919055411734,12
"SCENTRAL.1983",55,37,1,85,14,0,0,19,4,1,0,0,3,0,1,"re2.yr",220,"re2.yr-SCENTRAL.1983",470,676,955,1306,2232,NA,0.00712060301507537,0.992205861444855,13
"SSREGION.1980",546,459,86,65,24,6,2,172,34,11,6,0,5,0,2,"re2.yr",1418,"re2.yr-SSREGION.1980",4039,4589,5184,6790,9330,NA,0.0163674698795181,0.0714811600910689,52
"SSREGION.1981",528,305,75,52,42,4,8,166,67,6,6,7,30,1,2,"re2.yr",1299,"re2.yr-SSREGION.1981",2943,3305,3513,3876,7481,NA,0.00700905562742561,0.992716075473384,45
"SSREGION.1982",260,167,25,549,81,10,9,173,114,11,13,28,74,3,9,"re2.yr",1526,"re2.yr-SSREGION.1982",4443,5296,5864,6591,8371,NA,0.00725211267605634,0.991604340644293,52
"SSREGION.1983",374,122,20,709,89,10,29,55,32,1,3,18,35,1,6,"re2.yr",1504,"re2.yr-SSREGION.1983",2893,3859,4713,5871,9434,NA,0.00726923076923077,0.991526043057382,56
"SSREGION.1984",154,50,3,253,42,11,2,69,29,2,1,21,21,6,3,"re2.yr",667,"re2.yr-SSREGION.1984",1313,1467,1577,1698,1953,NA,0.0114016393442623,0.555959085391082,19
"SSREGION.1985",64,21,4,217,19,6,3,64,5,0,0,6,9,0,2,"re2.yr",420,"re2.yr-SSREGION.1985",781,1007,1218,1507,2299,NA,0.00723711340206185,0.991672946822986,52
"SSREGION.1986",71,19,3,86,28,4,0,26,9,0,1,5,9,0,0,"re2.yr",261,"re2.yr-SSREGION.1986",435,490,541,637,968,NA,0.00776530612244899,0.985318917287179,13
"SSREGION.1987",44,15,3,55,40,2,5,29,6,0,0,6,12,0,2,"re2.yr",219,"re2.yr-SSREGION.1987",346,403,436,491,678,NA,0.008,0.977370200545581,3
"SSREGION.1988",66,22,2,83,60,3,0,42,6,1,0,6,9,1,1,"re2.yr",302,"re2.yr-SSREGION.1988",600,702,767,864,1093,NA,0.00746666666666667,0.990622977851379,3
"SSREGION.1989",64,23,6,203,25,8,2,68,3,3,2,12,10,3,1,"re2.yr",433,"re2.yr-SSREGION.1989",788,873,922,980,1152,NA,0.00808333333333334,0.972997839719388,1
"SSREGION.1990",29,21,0,76,16,1,2,72,2,0,2,11,7,1,1,"re2.yr",241,"re2.yr-SSREGION.1990",512,598,661,750,1006,NA,0.00725,0.991614003954071,3
"WEST2.1980",183,141,42,3,2,0,2,25,1,2,0,0,0,0,0,"re2.yr",401,"re2.yr-WEST2.1980",839,959,1031,1148,1921,NA,0.00659433962264151,0.994612972639285,4
"WEST2.1981",99,95,10,35,8,1,1,19,0,3,0,1,4,1,0,"re2.yr",277,"re2.yr-WEST2.1981",755,961,1114,1281,1663,NA,0.00826767676767677,0.963325647588717,30
"WEST2.1982",65,43,4,203,16,1,1,26,5,0,0,0,5,3,7,"re2.yr",379,"re2.yr-WEST2.1982",666,879,1034,1246,1827,NA,0.00725,0.991614003954071,60
"WEST2.1983",45,30,1,156,21,1,5,13,8,0,0,0,8,0,2,"re2.yr",290,"re2.yr-WEST2.1983",564,916,1216,1632,2857,NA,0.00825206611570248,0.964144712426682,54
"EAST2.8083",622,301,104,225,353,4,11,147,15,14,15,3,10,0,0,"re2.pd",1824,"re2.pd-EAST2.8083",5317,6812,7559,8409,10632,NA,0.00551456310679612,0.999551834388254,51
"EAST2.8492",177,24,7,206,61,6,4,69,18,0,1,5,15,1,0,"re2.pd",594,"re2.pd-EAST2.8492",1069,1205,1417,1773,2581,NA,0.0123621794871795,0.406481879783247,13
"NCENTRAL.8083",680,1521,301,62,20,11,10,38,5,13,2,2,5,1,0,"re2.pd",2671,"re2.pd-NCENTRAL.8083",5833,6218,6507,7885,10214,NA,0.0145909090909091,0.169322181326766,16
"NCENTRAL.8492",149,307,40,223,47,22,6,53,11,4,3,1,3,2,0,"re2.pd",871,"re2.pd-NCENTRAL.8492",1862,2811,3469,3997,4978,NA,0.00868502202643171,0.935821125230054,42
"SCENTRAL.8083",1506,628,175,255,37,3,5,204,59,10,7,9,12,1,2,"re2.pd",2913,"re2.pd-SCENTRAL.8083",12047,14702,16787,20013,26594,NA,0.00629715950473416,0.995972264581041,52
"SCENTRAL.8492",214,94,8,285,62,11,4,160,21,1,3,10,17,1,2,"re2.pd",893,"re2.pd-SCENTRAL.8492",2742,3309,3683,4112,5255,NA,0.00647222222222222,0.995171533553478,13
"SSREGION.8083",1708,1053,206,1375,236,30,48,566,247,29,28,53,144,5,19,"re2.pd",5747,"re2.pd-SSREGION.8083",19882,24118,29411,35966,43938,NA,0.0259212401995724,8.35242579213524e-05,56
"SSREGION.8492",518,176,23,973,230,35,14,439,65,8,7,67,77,11,10,"re2.pd",2653,"re2.pd-SSREGION.8492",5541,6267,6735,7309,8779,NA,0.00719953051643192,0.991844849687634,60
"WEST2.8083",392,309,57,397,47,3,9,83,14,5,0,1,17,4,9,"re2.pd",1347,"re2.pd-WEST2.8083",2909,3264,3479,3712,4731,NA,0.0105,0.704820080444651,61
"WEST2.8492",91,48,6,237,37,2,11,69,4,3,1,5,14,0,7,"re2.pd",535,"re2.pd-WEST2.8492",974,1262,1492,1867,2838,NA,0.00965,0.830227225311602,56
"EAST2.8081",490,196,80,114,345,2,10,111,7,9,8,3,5,0,0,"re2.pd2",1380,"re2.pd2-EAST2.8081",2618,5523,6679,7857,10598,NA,0.0266952702702703,4.57406853182629e-05,51
"EAST2.8283",132,105,24,111,8,2,1,36,8,5,7,0,5,0,0,"re2.pd2",444,"re2.pd2-EAST2.8283",807,920,999,1114,2108,NA,0.00674074074074074,0.993943338810825,46
"NCENTRAL.8081",515,1149,245,24,8,8,9,26,4,13,1,0,3,0,0,"re2.pd2",2005,"re2.pd2-NCENTRAL.8081",4073,4299,4438,4582,4966,NA,0.00692307692307692,0.993109339197777,16
"NCENTRAL.8283",165,372,56,38,12,3,1,12,1,0,1,2,2,1,0,"re2.pd2",666,"re2.pd2-NCENTRAL.8283",1409,1649,1772,1908,2654,NA,0.0108185483870968,0.652170609441319,28
"NCENTRAL.8485",55,149,13,117,5,15,2,20,3,1,2,1,2,0,0,"re2.pd2",385,"re2.pd2-NCENTRAL.8485",1000,1185,1291,1427,1790,NA,0.00596341463414634,0.997498802481313,4
"SCENTRAL.8081",847,412,101,53,10,1,4,124,45,7,7,3,3,1,1,"re2.pd2",1619,"re2.pd2-SCENTRAL.8081",4322,4703,4967,5313,6954,NA,0.00757009345794392,0.990149907159655,19
"SCENTRAL.8283",659,216,74,202,27,2,1,80,14,3,0,6,9,0,1,"re2.pd2",1294,"re2.pd2-SCENTRAL.8283",2886,3256,3537,4761,9821,NA,0.00974018379281537,0.81883303345597,46
"SCENTRAL.8485",70,29,2,141,5,4,0,37,7,0,1,3,5,1,1,"re2.pd2",306,"re2.pd2-SCENTRAL.8485",878,1074,1213,1376,1828,NA,0.0071875,0.991899876868309,4
"SCENTRAL.8687",78,49,2,55,28,7,0,40,2,1,1,4,5,0,0,"re2.pd2",272,"re2.pd2-SCENTRAL.8687",616,772,876,1011,1373,NA,0.0130925925925926,0.309932782988648,3
"SCENTRAL.8889",49,10,3,76,25,0,4,34,9,0,1,3,7,0,1,"re2.pd2",222,"re2.pd2-SCENTRAL.8889",413,664,833,1030,1622,NA,0.00647524752475248,0.995157695920665,42
"SSREGION.8081",1074,764,161,117,66,10,10,338,101,17,12,7,35,1,4,"re2.pd2",2717,"re2.pd2-SSREGION.8081",7444,11097,13250,14818,18619,NA,0.0522493308351178,0,52
"SSREGION.8283",634,289,45,1258,170,20,38,228,146,12,16,46,109,4,15,"re2.pd2",3030,"re2.pd2-SSREGION.8283",6259,7495,8365,9419,12336,NA,0.0104403073286052,0.714122575907209,56
"SSREGION.8485",218,71,7,470,61,17,5,133,34,2,1,27,30,6,5,"re2.pd2",1087,"re2.pd2-SSREGION.8485",2234,2528,2749,3126,4605,NA,0.00690875912408759,0.993174828332538,30
"SSREGION.8687",115,34,6,141,68,6,5,55,15,0,1,11,21,0,2,"re2.pd2",480,"re2.pd2-SSREGION.8687",931,1090,1185,1302,1573,NA,0.00985714285714286,0.804055943508878,13
"SSREGION.8889",130,45,8,286,85,11,2,110,9,4,2,18,19,4,2,"re2.pd2",735,"re2.pd2-SSREGION.8889",1505,1658,1763,1872,2174,NA,0.0127391304347826,0.356234757130114,3
"SSREGION.9092",55,26,2,76,16,1,2,141,7,2,3,11,7,1,1,"re2.pd2",351,"re2.pd2-SSREGION.9092",837,975,1070,1184,1521,NA,0.00877678571428572,0.92785696835415,8
"WEST2.8081",282,236,52,38,10,1,3,44,1,5,0,1,4,1,0,"re2.pd2",678,"re2.pd2-WEST2.8081",1724,1977,2141,2367,4449,NA,0.00733333333333333,0.99123284006842,30
"WEST2.8283",110,73,5,359,37,2,6,39,13,0,0,0,13,3,9,"re2.pd2",669,"re2.pd2-WEST2.8283",1358,1760,2032,2413,3675,NA,0.00734615384615385,0.991174199470627,61
"WEST2.8485",19,21,1,142,0,0,1,12,1,0,0,2,5,0,0,"re2.pd2",204,"re2.pd2-WEST2.8485",375,567,739,976,1686,NA,0.00756363636363636,0.99017944169353,61
"EAST2.1980",223,105,30,3,1,0,0,44,5,7,1,2,1,0,0,"re2.pd2.5",422,"re2.pd2.5-EAST2.1980",984,1154,1269,1384,1627,NA,0.00629591836734694,0.995977941502031,7
"EAST2.8182",352,153,65,183,348,3,11,94,10,7,14,1,4,0,0,"re2.pd2.5",1245,"re2.pd2.5-EAST2.8182",2136,3076,4417,5806,8318,NA,0.0160925572519084,0.0818977407784437,51
"EAST2.8384",84,53,10,69,4,1,0,17,5,0,0,0,7,1,0,"re2.pd2.5",251,"re2.pd2.5-EAST2.8384",510,694,844,1021,1438,NA,0.00727586206896552,0.991495711713696,30
"EAST2.8788",63,8,1,67,31,5,4,15,3,0,0,3,7,0,0,"re2.pd2.5",207,"re2.pd2.5-EAST2.8788",298,331,352,380,534,NA,0.0105,0.704820080444651,1
"NCENTRAL.1980",347,745,185,13,5,8,9,15,3,13,1,0,1,0,0,"re2.pd2.5",1345,"re2.pd2.5-NCENTRAL.1980",2390,2590,2684,2780,2988,NA,0.00810909090909091,0.971646382736746,3
"NCENTRAL.8182",286,693,113,41,12,2,0,17,1,0,1,2,3,1,0,"re2.pd2.5",1172,"re2.pd2.5-NCENTRAL.8182",2510,2789,2936,3074,3704,NA,0.00606603773584906,0.997029407838882,21
"NCENTRAL.8384",81,197,12,99,7,14,1,18,4,1,2,1,3,0,0,"re2.pd2.5",440,"re2.pd2.5-NCENTRAL.8384",1289,1494,1628,1785,2146,NA,0.00813636363636364,0.970215428284537,4
"NCENTRAL.8586",41,64,9,72,11,4,2,13,1,1,0,0,1,1,0,"re2.pd2.5",220,"re2.pd2.5-NCENTRAL.8586",427,532,597,669,848,NA,0.0075625,0.99018463938288,1
"SCENTRAL.1980",357,221,64,32,6,0,4,59,17,3,2,2,0,1,1,"re2.pd2.5",769,"re2.pd2.5-SCENTRAL.1980",1748,1947,2049,2175,2535,NA,0.00765094339622642,0.988614569624973,1
"SCENTRAL.8182",1094,370,110,138,17,3,1,126,38,6,5,7,9,0,0,"re2.pd2.5",1924,"re2.pd2.5-SCENTRAL.8182",5272,6306,9484,11090,14018,NA,0.0603286604361371,0,36
"SCENTRAL.8384",105,52,1,135,18,0,0,44,10,1,1,2,5,0,2,"re2.pd2.5",376,"re2.pd2.5-SCENTRAL.8384",1015,1547,2000,2637,4143,NA,0.0073277027027027,0.991258594385018,13
"SCENTRAL.8586",51,50,3,123,14,7,0,31,3,0,1,3,6,1,0,"re2.pd2.5",293,"re2.pd2.5-SCENTRAL.8586",672,795,904,1034,1474,NA,0.0104742268041237,0.708836570779104,4
"SCENTRAL.8788",79,18,2,49,29,4,1,38,5,1,1,3,7,0,1,"re2.pd2.5",238,"re2.pd2.5-SCENTRAL.8788",459,544,597,671,876,NA,0.00966666666666667,0.82812148999414,3
"SSREGION.1980",546,459,86,65,24,6,2,172,34,11,6,0,5,0,2,"re2.pd2.5",1418,"re2.pd2.5-SSREGION.1980",4040,4620,5151,6737,9326,NA,0.00853099510603589,0.949189098835216,52
"SSREGION.8182",788,472,100,601,123,14,17,339,181,17,19,35,104,4,11,"re2.pd2.5",2825,"re2.pd2.5-SSREGION.8182",11438,13579,14691,16293,20104,NA,0.00761731843575419,0.989583558239086,52
"SSREGION.8384",528,172,23,962,131,21,31,124,61,3,4,39,56,7,9,"re2.pd2.5",2171,"re2.pd2.5-SSREGION.8384",4767,6195,7232,8741,13319,NA,0.0058099173553719,0.998200893911886,56
"SSREGION.8586",135,40,7,303,47,10,3,90,14,0,1,11,18,0,2,"re2.pd2.5",681,"re2.pd2.5-SSREGION.8586",1366,1663,1906,2282,3165,NA,0.00730314960629921,0.991370899428577,30
"SSREGION.8788",110,37,5,138,100,5,5,71,12,1,0,12,21,1,3,"re2.pd2.5",521,"re2.pd2.5-SSREGION.8788",984,1106,1190,1318,1745,NA,0.00583333333333333,0.998093790010133,3
"SSREGION.8990",93,44,6,279,41,9,4,140,5,3,4,23,17,4,2,"re2.pd2.5",674,"re2.pd2.5-SSREGION.8990",1377,1658,1817,2000,2440,NA,0.00820560747663551,0.966582319628618,8
"WEST2.1980",183,141,42,3,2,0,2,25,1,2,0,0,0,0,0,"re2.pd2.5",401,"re2.pd2.5-WEST2.1980",831,955,1042,1145,1923,NA,0.00803389830508475,0.975591613090859,4
"WEST2.8182",164,138,14,238,24,2,2,45,5,3,0,1,9,4,7,"re2.pd2.5",656,"re2.pd2.5-WEST2.8182",1578,1910,2133,2416,3134,NA,0.009225,0.883923475906843,60
"WEST2.8384",58,47,2,241,21,1,5,20,9,0,0,1,13,0,2,"re2.pd2.5",420,"re2.pd2.5-WEST2.8384",842,1339,1837,2551,4661,NA,0.00726113360323887,0.991563079224409,54
"EAST2.8082",575,258,95,186,349,3,11,138,15,14,15,3,5,0,0,"re2.pd3",1667,"re2.pd3-EAST2.8082",3748,6465,7365,8255,10445,NA,0.00738,0.991019388292455,51
"EAST2.8385",99,55,15,109,6,2,0,27,6,0,1,0,7,1,0,"re2.pd3",328,"re2.pd3-EAST2.8385",613,759,892,1227,2286,NA,0.0065,0.995044478924927,46
"EAST2.8688",83,9,1,96,51,5,4,19,6,0,0,4,7,0,0,"re2.pd3",285,"re2.pd3-EAST2.8688",415,453,484,535,757,NA,0.0106607142857143,0.678417544896694,1
"NCENTRAL.8082",633,1438,298,54,17,10,9,32,4,13,2,2,4,1,0,"re2.pd3",2517,"re2.pd3-NCENTRAL.8082",5243,5589,5790,6154,8983,NA,0.0109703016241299,0.626934887992881,16
"NCENTRAL.8385",102,232,16,125,8,16,3,26,4,1,2,1,3,0,0,"re2.pd3",539,"re2.pd3-NCENTRAL.8385",1569,1826,1976,2160,2581,NA,0.00608490566037736,0.996943106581754,4
"NCENTRAL.8688",57,86,12,81,29,4,1,19,2,2,0,0,1,1,0,"re2.pd3",295,"re2.pd3-NCENTRAL.8688",589,762,887,1046,1432,NA,0.00570833333333333,0.99866553583861,14
"SCENTRAL.8082",1451,591,174,170,23,3,5,185,55,9,7,9,9,1,1,"re2.pd3",2693,"re2.pd3-SCENTRAL.8082",10743,12596,13607,14812,18066,NA,0.01022,0.748455231438131,36
"SCENTRAL.8385",125,66,3,226,19,4,0,56,11,1,1,3,8,1,2,"re2.pd3",526,"re2.pd3-SCENTRAL.8385",1682,2005,2257,2708,3908,NA,0.00685046728971962,0.993441453237611,4
"SCENTRAL.8688",110,54,3,81,42,7,1,57,7,1,2,5,10,0,1,"re2.pd3",381,"re2.pd3-SCENTRAL.8688",885,1047,1168,1338,1863,NA,0.00548245614035088,0.999698690581294,3
"SCENTRAL.8992",34,11,3,63,15,0,3,66,7,0,0,2,2,0,0,"re2.pd3",206,"re2.pd3-SCENTRAL.8992",352,483,698,868,1413,NA,0.024258358662614,0.000357592271068352,40
"SSREGION.8082",1334,931,186,666,147,20,19,511,215,28,25,35,109,4,13,"re2.pd3",4243,"re2.pd3-SSREGION.8082",19896,22713,24481,26230,30893,NA,0.0107887008461921,0.657134089910773,52
"SSREGION.8385",592,193,27,1179,150,27,34,188,66,3,4,45,65,7,11,"re2.pd3",2591,"re2.pd3-SSREGION.8385",6334,8381,10024,12152,18959,NA,0.0103345428156749,0.730604899091015,56
"SSREGION.8688",181,56,8,224,128,9,5,97,21,1,1,17,30,1,3,"re2.pd3",782,"re2.pd3-SSREGION.8688",1670,1918,2059,2229,2648,NA,0.00654444444444444,0.994841191519247,13
"SSREGION.8992",119,49,8,279,41,9,4,209,10,5,5,23,17,4,2,"re2.pd3",784,"re2.pd3-SSREGION.8992",1693,2139,2318,2524,3054,NA,0.00724074074074074,0.991656355496921,8
"WEST2.8082",347,279,56,241,26,2,4,70,6,5,0,1,9,4,7,"re2.pd3",1057,"re2.pd3-WEST2.8082",2346,2628,2795,2987,3388,NA,0.00692857142857143,0.993084207513009,60
"WEST2.8385",64,51,2,298,21,1,6,25,9,0,0,2,13,0,2,"re2.pd3",494,"re2.pd3-WEST2.8385",994,1579,2018,2673,4749,NA,0.00658765432098765,0.994643550985946,54
"EAST2.8085",674,313,110,295,355,5,11,165,21,14,16,3,12,1,0,"re2.pd4",1995,"re2.pd4-EAST2.8085",4274,6807,7625,8418,11634,NA,0.00654675505931612,0.994830622843934,51
"EAST2.8692",125,12,1,136,59,5,4,51,12,0,0,5,13,0,0,"re2.pd4",423,"re2.pd4-EAST2.8692",728,922,1065,1398,2301,NA,0.00650943396226415,0.995001328296363,32
"NCENTRAL.8085",735,1670,314,179,25,26,12,58,8,14,4,3,7,1,0,"re2.pd4",3056,"re2.pd4-NCENTRAL.8085",6580,6946,7227,10277,14071,NA,0.0333213389121339,0,21
"NCENTRAL.8692",94,158,27,106,42,7,4,33,8,3,1,0,1,2,0,"re2.pd4",486,"re2.pd4-NCENTRAL.8692",836,1032,1149,1301,1877,NA,0.00731884057971014,0.991299129439837,14
"SCENTRAL.8085",1576,657,177,396,42,7,5,241,66,10,8,12,17,2,3,"re2.pd4",3219,"re2.pd4-SCENTRAL.8085",15488,18978,21072,24405,30936,NA,0.00683194278903457,0.993526183685541,52
"SCENTRAL.8692",144,65,6,144,57,7,4,123,14,1,2,7,12,0,1,"re2.pd4",587,"re2.pd4-SCENTRAL.8692",1529,1811,2000,2286,3114,NA,0.00578571428571429,0.998311597944791,3
"SSREGION.8085",1926,1124,213,1845,297,47,53,699,281,31,29,80,174,11,24,"re2.pd4",6834,"re2.pd4-SSREGION.8085",28542,36017,38599,41232,48160,NA,0.00587427578215527,0.997906520615561,52
"SSREGION.8692",300,105,16,503,169,18,9,306,31,6,6,40,47,5,5,"re2.pd4",1566,"re2.pd4-SSREGION.8692",3343,3933,4400,4869,5828,NA,0.00729340659340659,0.991415463644402,30
"WEST2.8085",411,330,58,539,47,3,10,95,15,5,0,3,22,4,9,"re2.pd4",1551,"re2.pd4-WEST2.8085",3505,4447,5789,8018,23067,NA,0.00849787414965987,0.951247575405414,61
"WEST2.8692",72,27,5,95,37,2,10,57,3,3,1,3,9,0,7,"re2.pd4",331,"re2.pd4-WEST2.8692",598,833,1008,1202,1825,NA,0.00933333333333333,0.870236196343351,52
