match_group_id,in_CDHES,in_UN_TRC,in_UN_TRC_2,in_Rescate,date,geocode,perp1,perp2
17346,0,0,0,1,1981-11-02,61100,PARAMILITARY,UNKNOWN
17347,0,0,0,1,1985-03-06,71500,ARMY,UNKNOWN
17348,0,0,0,1,1985-03-19,41800,ARMY,UNKNOWN
17349,0,0,0,1,1985-03-20,71500,ARMY,UNKNOWN
17350,0,0,0,1,1985-03-07,60100,FMLN,UNKNOWN
17351,0,0,0,1,1990-07-15,140900,FMLN,UNKNOWN
17352,0,0,0,1,1983-12-01,10000,ARMY,UNKNOWN
17353,0,0,0,1,1985-03-08,111600,DEATH SQUAD,UNKNOWN
17354,0,0,0,1,1984-04-13,80600,OTHER,UNKNOWN
17355,0,0,0,1,1985-03-10,60500,DEATH SQUAD,UNKNOWN
17356,0,0,0,1,1982-12-01,20100,DEATH SQUAD,UNKNOWN
17357,0,0,0,1,1982-12-01,20100,DEATH SQUAD,UNKNOWN
17358,0,0,0,1,1986-04-16,42600,ARMY,UNKNOWN
17359,0,0,0,1,1986-04-16,42600,ARMY,UNKNOWN
17360,0,0,0,1,1990-07-21,30900,DEATH SQUAD,UNKNOWN
17361,0,0,0,1,1982-12-01,60100,DEATH SQUAD,UNKNOWN
17362,0,0,0,1,1982-12-01,60100,DEATH SQUAD,UNKNOWN
17363,0,0,0,1,1981-12-01,60200,ARMY,UNKNOWN
17364,0,0,0,1,1982-12-01,20100,DEATH SQUAD,UNKNOWN
17365,0,0,0,1,1982-12-01,120000,DEATH SQUAD,UNKNOWN
17366,0,0,0,1,1985-03-14,61000,DEATH SQUAD,UNKNOWN
17367,0,0,0,1,1985-03-14,61000,DEATH SQUAD,UNKNOWN
17368,0,0,0,1,1982-12-01,50400,UNKNOWN,UNKNOWN
17369,0,0,0,1,1985-03-15,90200,ARMY,UNKNOWN
17370,0,0,0,1,1982-12-01,51900,UNKNOWN,UNKNOWN
17371,0,0,0,1,1982-12-01,20100,DEATH SQUAD,UNKNOWN
17372,0,0,0,1,1982-12-01,20100,DEATH SQUAD,UNKNOWN
17373,0,0,0,1,1987-12-09,120100,OTHER,UNKNOWN
17374,0,0,0,1,1982-12-01,61000,DEATH SQUAD,UNKNOWN
17375,0,0,0,1,1982-12-01,61000,DEATH SQUAD,UNKNOWN
17376,0,0,0,1,1981-12-11,130200,ARMY,UNKNOWN
17377,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17378,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17379,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17380,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17381,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17382,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17383,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17384,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17385,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17386,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17387,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17388,0,0,0,1,1982-05-01,60300,DEATH SQUAD,UNKNOWN
17389,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17390,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17391,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17392,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17393,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17394,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17395,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17396,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17397,0,0,0,1,1982-05-09,70100,DEATH SQUAD,UNKNOWN
17398,0,0,0,1,1988-10-03,60100,DEATH SQUAD,UNKNOWN
17399,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17400,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17401,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17402,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17403,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17404,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17405,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17406,0,0,0,1,1986-01-10,71500,ARMY,ARMY
17407,0,0,0,1,1986-11-09,100000,DEATH SQUAD,UNKNOWN
17408,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17409,0,0,0,1,1982-05-15,51200,NATIONAL POLICE,PARAMILITARY
17410,0,0,0,1,1985-08-08,61000,PARAMILITARY,UNKNOWN
17411,0,0,0,1,1986-11-16,100400,ARMY,UNKNOWN
17412,0,0,0,1,1985-08-08,71500,ARMY,UNKNOWN
17413,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17414,0,0,0,1,1982-05-17,60100,DEATH SQUAD,UNKNOWN
17415,0,0,0,1,1984-06-01,71500,ARMY,UNKNOWN
17416,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17417,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17418,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17419,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17420,0,0,0,1,1983-04-13,60100,DEATH SQUAD,UNKNOWN
17421,0,0,0,1,1983-04-13,60100,DEATH SQUAD,UNKNOWN
17422,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17423,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17424,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17425,0,0,0,1,1982-05-24,60100,DEATH SQUAD,UNKNOWN
17426,0,0,0,1,1982-05-24,60100,DEATH SQUAD,UNKNOWN
17427,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17428,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17429,0,0,0,1,1982-05-29,120600,PARAMILITARY,UNKNOWN
17430,0,0,0,1,1982-05-29,60600,DEATH SQUAD,UNKNOWN
17431,0,0,0,1,1982-05-29,60600,DEATH SQUAD,UNKNOWN
17432,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17433,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17434,0,0,0,1,1982-06-01,20100,DEATH SQUAD,UNKNOWN
17435,0,0,0,1,1983-01-14,60100,DEATH SQUAD,UNKNOWN
17436,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17437,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17438,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17439,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17440,0,0,0,1,1983-04-26,60100,DEATH SQUAD,UNKNOWN
17441,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17442,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17443,0,0,0,1,1982-06-01,120100,DEATH SQUAD,UNKNOWN
17444,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17445,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17446,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17447,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17448,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17449,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17450,0,0,0,1,1983-05-01,60100,DEATH SQUAD,UNKNOWN
17451,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17452,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17453,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
17454,0,0,0,1,1981-12-11,131500,ARMY,UNKNOWN
